ip;int;mac;exp;vrf;tag_inner;tag_outer;tag_vlanid
10.1.24.3;ae31.708;00:02:9b:9f:75:b7;342;IPTV;;;
10.1.24.4;ae31.708;1c:bb:a8:24:64:a4;1351;IPTV;;;
10.1.24.6;ae31.708;e4:27:71:40:b9:e1;339;IPTV;;;
10.1.24.7;ae31.708;e4:27:71:29:45:15;587;IPTV;;;
10.1.24.8;ae31.708;e4:27:71:14:67:53;191;IPTV;;;
10.1.24.11;ae31.708;e4:27:71:03:98:bf;1069;IPTV;;;
10.1.24.13;ae31.708;1c:bb:a8:01:4a:1f;886;IPTV;;;
10.1.24.15;ae31.708;ec:4c:4d:f5:21:3c;1205;IPTV;;;
10.1.24.20;ae31.708;e4:27:71:6b:87:7a;326;IPTV;;;
10.1.24.21;ae31.708;00:1a:79:0f:85:79;1355;IPTV;;;
10.1.24.22;ae31.708;1c:bb:a8:1a:39:cd;717;IPTV;;;
10.1.24.23;ae31.708;e4:27:71:1f:5a:d7;1418;IPTV;;;
10.1.24.24;ae31.708;e4:27:71:09:40:26;785;IPTV;;;
10.1.24.26;ae31.708;e4:27:71:09:54:e4;4;IPTV;;;
10.1.24.28;ae31.708;e4:27:71:62:7e:e6;929;IPTV;;;
10.1.24.29;ae31.708;1c:bb:a8:1a:2a:b9;1037;IPTV;;;
10.1.24.32;ae31.708;e4:27:71:1f:db:51;679;IPTV;;;
10.1.24.34;ae31.708;e4:27:71:27:8e:99;264;IPTV;;;
10.1.24.36;ae31.708;1c:bb:a8:1a:87:21;828;IPTV;;;
10.1.24.39;ae31.708;e4:27:71:11:4b:8d;114;IPTV;;;
10.1.24.43;ae31.708;e4:27:71:51:50:a0;907;IPTV;;;
10.1.24.44;ae31.708;ec:4c:4d:74:28:ae;161;IPTV;;;
10.1.24.48;ae31.708;70:2e:d9:0c:a9:52;1427;IPTV;;;
10.1.24.49;ae31.708;e4:27:71:29:68:13;610;IPTV;;;
10.1.24.51;ae31.708;e4:27:71:29:86:74;1119;IPTV;;;
10.1.24.53;ae31.708;e4:27:71:62:7f:62;977;IPTV;;;
10.1.24.54;ae31.708;e4:27:71:13:55:c0;137;IPTV;;;
10.1.24.55;ae31.708;e4:27:71:60:e1:09;301;IPTV;;;
10.1.24.57;ae31.708;1c:bb:a8:27:13:0d;575;IPTV;;;
10.1.24.59;ae31.708;00:1a:79:13:ab:6a;1321;IPTV;;;
10.1.24.60;ae31.708;1c:bb:a8:01:4a:5b;149;IPTV;;;
10.1.24.61;ae31.708;e4:27:71:29:67:86;224;IPTV;;;
10.1.24.62;ae31.708;e4:27:71:45:cf:fd;529;IPTV;;;
10.1.24.64;ae31.708;e4:27:71:51:52:5e;511;IPTV;;;
10.1.24.65;ae31.708;e4:27:71:45:bc:d1;1047;IPTV;;;
10.1.24.66;ae31.708;1c:bb:a8:24:66:1e;1198;IPTV;;;
10.1.24.68;ae31.708;e4:27:71:09:3f:d3;494;IPTV;;;
10.1.24.69;ae31.708;e4:27:71:25:64:75;594;IPTV;;;
10.1.24.70;ae31.708;e4:27:71:60:e3:fa;636;IPTV;;;
10.1.24.73;ae31.708;e4:27:71:55:09:c7;762;IPTV;;;
10.1.24.76;ae31.708;e4:27:71:47:25:25;1038;IPTV;;;
10.1.24.77;ae31.708;1c:bb:a8:23:57:cb;1403;IPTV;;;
10.1.24.78;ae31.708;ec:4c:4d:66:c6:65;754;IPTV;;;
10.1.24.87;ae31.708;e4:27:71:44:f8:5e;666;IPTV;;;
10.1.24.95;ae31.708;e4:27:71:18:87:f7;684;IPTV;;;
10.1.24.96;ae31.708;e4:27:71:24:f6:24;868;IPTV;;;
10.1.24.98;ae31.708;1c:bb:a8:1a:58:c1;1020;IPTV;;;
10.1.24.99;ae31.708;e4:27:71:4d:26:82;591;IPTV;;;
10.1.24.102;ae31.708;ec:4c:4d:f0:2c:8f;1193;IPTV;;;
10.1.24.103;ae31.708;ec:4c:4d:74:29:a4;198;IPTV;;;
10.1.24.104;ae31.708;1c:bb:a8:19:c1:52;871;IPTV;;;
10.1.24.105;ae31.708;e4:27:71:1f:1c:41;1263;IPTV;;;
10.1.24.106;ae31.708;e4:27:71:62:6f:c5;630;IPTV;;;
10.1.24.108;ae31.708;ec:4c:4d:f5:07:6e;887;IPTV;;;
10.1.24.110;ae31.708;e4:27:71:45:cd:84;1315;IPTV;;;
10.1.24.111;ae31.708;e4:27:71:29:44:97;545;IPTV;;;
10.1.24.112;ae31.708;ec:4c:4d:74:27:c5;1240;IPTV;;;
10.1.24.113;ae31.708;1c:bb:a8:0c:45:c9;201;IPTV;;;
10.1.24.114;ae31.708;e4:27:71:0f:f7:66;802;IPTV;;;
10.1.24.117;ae31.708;e4:27:71:55:d5:3a;595;IPTV;;;
10.1.24.118;ae31.708;e4:27:71:4e:e2:b7;1253;IPTV;;;
10.1.24.122;ae31.708;1c:bb:a8:0c:3c:6d;904;IPTV;;;
10.1.24.124;ae31.708;e4:27:71:03:65:c9;143;IPTV;;;
10.1.24.126;ae31.708;1c:bb:a8:0c:39:9d;1097;IPTV;;;
10.1.24.132;ae31.708;e4:27:71:29:c1:f0;230;IPTV;;;
10.1.24.137;ae31.708;e4:27:71:26:9c:0b;938;IPTV;;;
10.1.24.139;ae31.708;e4:27:71:27:99:f0;924;IPTV;;;
10.1.24.140;ae31.708;e4:27:71:02:2d:f8;181;IPTV;;;
10.1.24.141;ae31.708;e4:27:71:45:e9:23;826;IPTV;;;
10.1.24.142;ae31.708;e4:27:71:1f:32:c9;505;IPTV;;;
10.1.24.144;ae31.708;e4:27:71:6c:1b:37;505;IPTV;;;
10.1.24.145;ae31.708;1c:bb:a8:22:ac:a3;180;IPTV;;;
10.1.24.147;ae31.708;e4:27:71:03:40:e7;501;IPTV;;;
10.1.24.148;ae31.708;e4:27:71:5f:65:09;968;IPTV;;;
10.1.24.150;ae31.708;e4:27:71:47:ae:7c;901;IPTV;;;
10.1.24.152;ae31.708;e4:27:71:4c:82:69;1333;IPTV;;;
10.1.24.153;ae31.708;e4:27:71:02:28:a6;1118;IPTV;;;
10.1.24.154;ae31.708;e4:27:71:6b:8c:ec;715;IPTV;;;
10.1.24.156;ae31.708;00:1a:79:05:ef:d2;921;IPTV;;;
10.1.24.159;ae31.708;e4:27:71:4c:77:73;1412;IPTV;;;
10.1.24.160;ae31.708;e4:27:71:62:7c:94;72;IPTV;;;
10.1.24.164;ae31.708;1c:bb:a8:1a:18:d7;765;IPTV;;;
10.1.24.166;ae31.708;ec:4c:4d:f0:2e:cc;1326;IPTV;;;
10.1.24.168;ae31.708;e4:27:71:67:f0:82;8;IPTV;;;
10.1.24.170;ae31.708;e4:27:71:27:6c:7d;520;IPTV;;;
10.1.24.173;ae31.708;1c:bb:a8:17:b1:78;603;IPTV;;;
10.1.24.174;ae31.708;ec:4c:4d:74:1d:6e;1048;IPTV;;;
10.1.24.177;ae31.708;e4:27:71:4d:20:fd;1259;IPTV;;;
10.1.24.180;ae31.708;e4:27:71:02:47:48;91;IPTV;;;
10.1.24.182;ae31.708;00:07:67:b2:38:3b;197;IPTV;;;
10.1.24.183;ae31.708;e4:27:71:5f:65:43;647;IPTV;;;
10.1.24.184;ae31.708;e4:27:71:1f:fc:fa;659;IPTV;;;
10.1.24.186;ae31.708;e4:27:71:60:e0:ec;713;IPTV;;;
10.1.24.188;ae31.708;e4:27:71:52:5b:62;253;IPTV;;;
10.1.24.189;ae31.708;e4:27:71:67:f0:40;710;IPTV;;;
10.1.24.193;ae31.708;e4:27:71:40:83:be;561;IPTV;;;
10.1.24.194;ae31.708;e4:27:71:5f:65:56;727;IPTV;;;
10.1.24.195;ae31.708;1c:bb:a8:23:54:af;32;IPTV;;;
10.1.24.197;ae31.708;00:02:9b:89:a0:47;147;IPTV;;;
