ip;int;mac;exp;vrf
172.16.3.131;esat-1/1*;00:90:e8:28:a5:15;01h48m51s;KhM_ENERGO_MONITOR
10.86.0.118;rvpls;e0:d9:e3:52:e2:60;03h59m54s;USI_WIFI_CORP
10.0.161.1;rvpls;00:1b:53:d1:89:41;02h40m07s;USI_IPTV_CONTR
10.0.161.4;rvpls;00:19:bb:3d:38:52;03h46m35s;USI_IPTV_CONTR
10.0.160.1;rvpls;00:1b:53:d1:89:42;02h39m07s;USI_IPTV_CONTR
10.0.160.4;rvpls;00:19:bb:3d:7c:9a;00h04m47s;USI_IPTV_CONTR
10.184.235.178;lag-3:80*;40:a8:f0:25:06:ba;01h43m24s;HP_IUM_DATA
10.184.235.179;lag-3:80*;40:a8:f0:25:06:ca;01h43m17s;HP_IUM_DATA
10.62.143.167;esat-1/1*;28:6e:d4:0f:2d:13;03h59m58s;USI_IMS_RTP
10.62.143.168;esat-1/1*;e0:24:7f:93:f6:e1;04h00m00s;USI_IMS_RTP
10.62.143.169;esat-1/1*;10:47:80:00:28:0f;03h59m58s;USI_IMS_RTP
10.62.139.194;lag-74:7*;28:6e:d4:4f:bd:31;03h52m20s;USI_IMS_RTP
11.91.15.2;lag-3:40*;58:50:ed:0d:9a:ae;02h23m58s;USI_ROS_UIK
11.91.15.3;lag-3:40*;58:50:ed:0d:98:03;03h13m45s;USI_ROS_UIK
11.91.15.4;lag-3:40*;64:db:8b:2b:5e:98;03h54m58s;USI_ROS_UIK
11.91.15.5;lag-3:40*;58:50:ed:0d:a0:97;02h23m58s;USI_ROS_UIK
11.91.15.7;lag-3:40*;58:50:ed:0d:99:f5;03h09m57s;USI_ROS_UIK
11.91.15.8;lag-3:40*;64:db:8b:2b:25:9e;02h09m58s;USI_ROS_UIK
11.91.15.9;lag-3:40*;58:50:ed:0d:98:d1;01h25m29s;USI_ROS_UIK
11.91.15.10;lag-3:40*;58:50:ed:0d:9c:6a;03h06m33s;USI_ROS_UIK
11.91.15.12;lag-3:40*;58:50:ed:0d:9f:95;01h25m29s;USI_ROS_UIK
11.91.15.13;lag-3:40*;64:db:8b:2b:4b:ac;03h54m58s;USI_ROS_UIK
11.91.15.14;lag-3:40*;64:db:8b:2b:3d:93;03h54m58s;USI_ROS_UIK
11.91.15.15;lag-3:40*;64:db:8b:2b:40:22;03h02m21s;USI_ROS_UIK
11.91.15.17;lag-3:40*;58:50:ed:0d:9f:c0;00h31m29s;USI_ROS_UIK
11.91.15.18;lag-3:40*;64:db:8b:2b:3d:a8;03h58m59s;USI_ROS_UIK
11.91.15.19;lag-3:40*;58:50:ed:0d:9b:c5;03h20m57s;USI_ROS_UIK
11.91.15.20;lag-3:40*;58:50:ed:0d:99:9b;00h13m00s;USI_ROS_UIK
11.91.15.21;lag-3:40*;58:50:ed:0d:99:eb;00h54m21s;USI_ROS_UIK
11.91.15.31;lag-3:40*;f0:de:f1:c1:d9:bf;02h53m36s;USI_ROS_UIK
11.91.15.32;lag-3:40*;f0:de:f1:c1:d8:74;01h24m11s;USI_ROS_UIK
11.91.13.2;lag-3:40*;58:50:ed:0d:9f:24;03h56m37s;USI_ROS_UIK
11.91.13.3;lag-3:40*;58:50:ed:0d:9f:98;03h54m16s;USI_ROS_UIK
11.91.13.4;lag-3:40*;58:50:ed:0d:9f:23;03h53m23s;USI_ROS_UIK
11.91.13.5;lag-3:40*;58:50:ed:0d:9f:58;03h12m19s;USI_ROS_UIK
11.91.13.6;lag-3:40*;58:50:ed:0d:a0:69;03h42m08s;USI_ROS_UIK
11.91.13.7;lag-3:40*;58:50:ed:0d:9f:cd;02h52m24s;USI_ROS_UIK
11.91.13.8;lag-3:40*;58:50:ed:0d:9e:90;03h19m22s;USI_ROS_UIK
11.91.13.9;lag-3:40*;58:50:ed:0d:9f:57;03h27m43s;USI_ROS_UIK
